drivetype,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
1A,Vehicle Control,Baseline SDLP Measure,Divided Attention Task,Amber Dilemma Rural,Crash Avoidance Medium,SDLP 2-Lane Baseline,Stop Light Reaction,Amber Dilemma Urban,,
1B,Vehicle Control,Baseline SDLP Measure,Crash Avoidance Medium,Divided Attention Task,Amber Dilemma Rural,SDLP 2-Lane Baseline,Stop Light Reaction,Amber Dilemma Urban,,
2A,Stop Light Reaction,SDLP 2-Lane Baseline,Crash Avoidance Medium,Amber Dilemma Rural,Amber Dilemma Urban,Vehicle Control,Baseline SDLP Measure,Divided Attention Task,,
2B,Stop Light Reaction,SDLP 2-Lane Baseline,Amber Dilemma Rural,Crash Avoidance Medium,Amber Dilemma Urban,Vehicle Control,Baseline SDLP Measure,Divided Attention Task,,
3A,Divided Attention Task,Vehicle Control,Baseline SDLP Measure,Amber Dilemma Urban,Stop Light Reaction,Crash Avoidance Medium,SDLP 2-Lane Baseline,Amber Dilemma Rural,,
3B,Divided Attention Task,Vehicle Control,Baseline SDLP Measure,Amber Dilemma Urban,Stop Light Reaction,Crash Avoidance Medium,SDLP 2-Lane Baseline,Amber Dilemma Rural,,
4A,Stop Light Reaction,Amber Dilemma Urban,Crash Avoidance Medium,SDLP 2-Lane Baseline,Amber Dilemma Rural,Divided Attention Task,Vehicle Control,Baseline SDLP Measure,,
4B,Stop Light Reaction,Amber Dilemma Urban,SDLP 2-Lane Baseline,Amber Dilemma Rural,Divided Attention Task,Crash Avoidance Medium,Vehicle Control,Baseline SDLP Measure,,
5A,Crash Avoidance Medium,Vehicle Control,Baseline SDLP Measure,Divided Attention Task,Stop Light Reaction,Amber Dilemma Urban,Amber Dilemma Rural,SDLP 2-Lane Baseline,,
5B,Vehicle Control,Baseline SDLP Measure,Divided Attention Task,Stop Light Reaction,Crash Avoidance Medium,Amber Dilemma Urban,Amber Dilemma Rural,SDLP 2-Lane Baseline,,
1C,Vehicle Control,Baseline SDLP Measure,Divided Attention Task,Crash Avoidance Medium,Stop Light Reaction,,,,,
1D,Vehicle Control,Baseline SDLP Measure,Divided Attention Task,Crash Avoidance Medium,Stop Light Reaction,,,,,
1F,Vehicle Control,Baseline SDLP Measure,,,,,,,,